top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
   1921 satrai    20   0  231804   5636   4604 S   0,0   0,0   0:00.03 gsd-di+
   1948 satrai    20   0  350820  15272  13388 S   0,0   0,0   0:00.01 gsd-pr+
   1988 satrai    20   0  171460   7272   6492 S   0,0   0,0   0:13.41 ibus-e+
   2069 root      20   0 5794396 139640  65704 S   0,0   0,4   1:48.03 dockerd
   2072 whoopsie  20   0  400596  15764  13772 S   0,0   0,0   0:00.89 whoops+
   2078 kernoops  20   0   11264    444      0 S   0,0   0,0   0:00.32 kernel+
   2084 kernoops  20   0   11264    440      0 S   0,0   0,0   0:00.32 kernel+
   2165 root      20   0    2496    576    512 S   0,0   0,0   0:00.03 bpfilt+
   2441 satrai    20   0  609600   8984   7696 S   0,0   0,0   0:00.05 gvfsd-+
   2453 satrai    20   0  323752   8368   7404 S   0,0   0,0   0:00.05 gvfsd-+
   2589 satrai    20   0  618820  10828   9552 S   0,0   0,0   0:01.03 xdg-de+
   2593 satrai    20   0  613760   6544   5876 S   0,0   0,0   0:00.09 xdg-do+
   2603 satrai    20   0  502536  28608  19116 S   0,0   0,1   0:00.77 xdg-de+
   2925 satrai    20   0  472644  43452  32804 S   0,0   0,1   0:00.59 update+
   2927 satrai    20   0  171060   6788   5996 S   0,0   0,0   0:00.05 gvfsd-+
   3043 satrai    20   0  876624  57980  42412 S   0,0   0,2   0:01.10 gnome-+
   3182 satrai    20   0 4238324 312292 157716 S   0,0   1,0   1:28.59 spyder3
   3202 satrai    20   0  546480  92716  36632 S   0,0   0,3   0:04.39 python+
   3208 satrai    20   0  512004  66868  34668 S   0,0   0,2   0:03.84 python+
   3246 uuidd     20   0   19232   1072    896 S   0,0   0,0   0:00.03 uuidd
   3250 satrai    20   0  977136 114884  28136 S   0,0   0,4   0:10.06 python+
   4888 satrai    20   0  207028  27040  17836 S   0,0   0,1   0:00.05 eclipse
   4911 satrai    20   0  109,5g   1,7g 109768 S   0,0   5,3  14:41.05 java
   5181 satrai    20   0   86,5g  42708  36516 S   0,0   0,1   0:01.03 WebKit+
   5183 satrai    20   0  102,6g 133312 101628 S   0,0   0,4   0:04.94 WebKit+
  21065 root       0 -20       0      0      0 I   0,0   0,0   0:11.23 kworke+
  21778 root      20   0       0      0      0 I   0,0   0,0   0:00.98 kworke+
  22166 root      20   0       0      0      0 I   0,0   0,0   0:02.87 kworke+
  22198 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/15+
  22335 root       0 -20       0      0      0 I   0,0   0,0   0:14.11 kworke+
  23588 satrai    20   0  980956  59016  40936 S   0,0   0,2   0:35.03 gnome-+
  23678 satrai    20   0   20704   6756   3872 S   0,0   0,0   0:00.33 bash
  23692 satrai    20   0   19648   5508   3692 S   0,0   0,0   0:00.11 bash
  24022 satrai    20   0   19648   5556   3740 S   0,0   0,0   0:00.04 bash
  24032 satrai    20   0   19648   5564   3748 S   0,0   0,0   0:00.06 bash
  26371 satrai    20   0   19648   5492   3660 S   0,0   0,0   0:00.12 bash
  49027 root      20   0       0      0      0 I   0,0   0,0   0:00.77 kworke+
  51897 root       0 -20       0      0      0 I   0,0   0,0   0:06.03 kworke+
  52903 root      20   0       0      0      0 I   0,0   0,0   0:02.31 kworke+
  53251 root      20   0       0      0      0 I   0,0   0,0   0:00.72 kworke+
  53252 root      20   0       0      0      0 I   0,0   0,0   0:03.00 kworke+
  53382 root      20   0       0      0      0 I   0,0   0,0   0:00.82 kworke+
  55037 root      20   0       0      0      0 I   0,0   0,0   0:00.20 kworke+
  55245 satrai    20   0  102,4g 133140 100996 S   0,0   0,4   0:01.12 WebKit+
  57025 root      20   0       0      0      0 I   0,0   0,0   0:00.87 kworke+
  59896 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  60119 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  61132 satrai    20   0  102,4g 133024 101232 S   0,0   0,4   0:00.98 WebKit+
  62190 root      20   0       0      0      0 I   0,0   0,0   0:00.08 kworke+
  62339 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworke+
  64408 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworke+
  64491 root      20   0       0      0      0 I   0,0   0,0   0:00.97 kworke+
